names,calories,protein,fat,carbs,fiber
Lemon,29.0,1.1,0.3,9.32,2.8
Submarine sandwich,158.0576724562294,7.6432515276693165,7.791692524558342,15.059807435960414,2.199721508880555
Taco,476.0,6.41,21.79,63.49,6.7
